contest, numbers
50,"1,2,3,6,7,9,10,11,12,13,19,20,21,23,25"
51,"1,3,5,6,7,8,11,13,14,16,17,20,21,22,23"
52,"1,2,4,8,9,11,12,13,15,16,21,22,23,24,25"
53,"1,2,3,6,7,9,11,12,14,17,18,19,20,23,24"
54,"2,4,5,6,7,8,9,12,14,16,18,20,21,22,24"
55,"2,3,4,5,6,7,8,9,12,13,15,16,18,19,25"
56,"1,2,5,9,12,13,14,15,16,17,19,20,22,23,24"
57,"1,2,3,4,6,7,8,11,12,17,19,20,21,22,25"
58,"3,4,5,6,11,12,13,14,15,16,17,18,19,20,22"
59,"1,3,5,6,7,8,10,11,13,14,15,19,20,23,25"
60,"1,2,3,4,5,8,11,16,17,18,19,22,23,24,25"
61,"1,4,5,9,11,12,13,14,15,16,19,20,22,23,25"
62,"1,3,7,8,9,11,13,14,15,16,17,18,20,24,25"
63,"4,8,9,10,11,12,13,16,17,19,20,21,22,24,25"
64,"1,2,3,6,7,8,9,10,13,14,17,18,20,23,25"
65,"1,2,4,7,10,15,16,17,18,19,20,21,22,23,25"
66,"1,2,4,8,10,11,14,15,16,17,20,21,22,23,24"
67,"5,7,8,9,10,11,12,13,15,16,20,21,22,23,24"
68,"1,2,3,5,6,7,8,9,10,12,16,17,22,23,25"
69,"1,4,7,8,9,10,11,15,17,18,19,20,21,23,24"
70,"1,2,3,5,6,9,10,12,14,15,16,19,20,24,25"
71,"1,3,5,6,8,9,11,13,14,15,16,18,21,22,23"
72,"1,2,5,7,8,11,12,13,15,16,17,18,23,24,25"
73,"1,2,5,7,10,11,13,14,15,16,17,18,19,21,25"
74,"1,2,3,4,5,6,8,11,13,15,16,18,22,23,25"
75,"1,3,4,5,6,7,8,10,11,13,15,16,17,20,25"
76,"1,3,5,8,9,10,12,13,15,16,17,19,21,23,25"
77,"2,3,4,6,8,9,11,14,17,18,20,21,22,24,25"
78,"1,2,3,5,6,7,8,12,13,15,16,17,18,20,23"
79,"1,2,3,5,9,12,14,15,17,18,20,22,23,24,25"
80,"1,2,3,4,5,7,9,10,14,15,17,18,20,22,25"
81,"1,2,3,4,5,6,7,10,11,13,15,16,17,19,21"
82,"1,4,5,6,8,9,12,13,15,17,18,19,20,22,23"
83,"1,2,3,5,6,8,10,11,12,13,14,20,23,24,25"
84,"1,2,4,6,8,12,15,16,17,19,20,22,23,24,25"
85,"1,2,5,7,8,9,11,13,14,15,16,18,21,22,23"
86,"2,4,5,6,8,9,12,13,14,17,18,19,23,24,25"
87,"1,2,3,5,8,9,10,11,13,15,18,20,22,24,25"
88,"1,2,4,5,8,9,10,11,12,14,17,18,19,24,25"
89,"1,6,11,12,13,15,16,17,19,20,21,22,23,24,25"
90,"1,2,3,8,10,11,12,15,17,20,21,22,23,24,25"
91,"1,4,9,10,11,12,13,14,15,16,17,20,22,23,25"
92,"1,2,4,6,8,12,13,14,15,17,18,19,21,22,24"
93,"2,4,5,6,7,9,10,13,17,18,19,20,21,23,24"
94,"2,4,8,9,11,12,13,15,16,17,18,21,22,23,24"
95,"1,2,3,4,5,10,11,12,14,15,17,18,19,20,22"
96,"3,4,6,9,10,12,14,16,17,18,19,21,22,23,24"
97,"3,4,6,10,12,13,14,15,17,19,20,22,23,24,25"
98,"1,2,5,6,8,10,11,15,17,18,20,22,23,24,25"
99,"1,2,3,4,7,10,11,13,14,16,17,20,21,24,25"
100,"1,3,4,8,9,10,11,12,13,14,16,17,22,23,25"
101,"1,3,6,7,9,10,13,14,16,17,19,20,21,23,24"
102,"1,2,3,4,7,9,10,11,12,18,19,21,22,23,25"
103,"1,2,3,4,5,7,8,10,11,16,17,18,22,23,25"
104,"5,6,7,10,11,13,14,15,16,18,19,21,22,24,25"
105,"4,6,7,8,9,10,11,12,13,15,17,19,21,22,25"
106,"1,2,3,4,5,6,10,12,13,14,15,17,22,23,25"
107,"1,3,4,6,7,8,9,11,12,15,17,18,21,24,25"
108,"1,2,4,7,8,9,11,12,14,15,16,18,22,23,25"
109,"1,3,5,7,9,11,12,13,16,18,20,21,23,24,25"
110,"1,3,4,5,6,12,13,14,17,19,20,21,22,23,25"
111,"1,5,6,10,11,12,13,15,17,18,19,21,22,24,25"
112,"1,2,3,4,6,10,11,14,15,17,18,19,20,21,23"
113,"1,2,4,5,6,8,11,12,13,14,19,20,21,24,25"
114,"1,2,3,6,7,8,9,10,11,14,20,21,22,24,25"
115,"1,4,5,6,7,9,11,12,13,16,17,18,20,21,25"
116,"1,2,9,10,11,12,13,14,16,18,19,20,21,23,25"
117,"5,6,7,9,10,11,12,13,14,15,17,18,20,23,25"
118,"2,4,5,6,8,12,13,14,15,18,19,21,22,23,24"
119,"1,4,6,8,9,10,11,15,17,18,20,21,22,23,24"
120,"1,3,5,7,8,11,12,13,15,16,18,19,20,21,24"
121,"1,2,4,5,7,9,10,11,12,16,17,18,23,24,25"
122,"1,2,4,5,8,9,10,13,15,17,18,20,22,23,25"
123,"4,5,6,7,11,12,13,17,18,19,20,21,22,23,24"
124,"2,3,4,6,7,9,14,15,16,18,19,20,21,24,25"
125,"2,3,4,6,7,9,10,11,12,15,16,21,22,24,25"
126,"1,2,3,4,6,7,8,13,14,16,18,21,22,24,25"
127,"1,2,3,4,5,7,10,11,12,13,18,19,22,23,25"
128,"2,3,4,6,11,13,14,15,16,17,19,20,21,23,25"
129,"2,5,6,7,9,11,13,15,18,19,20,21,22,23,25"
130,"2,3,4,5,6,9,10,12,13,15,17,19,23,24,25"
131,"2,4,5,6,7,8,11,12,13,15,19,20,22,23,25"
132,"1,3,4,5,7,9,10,11,14,15,16,17,22,23,25"
133,"1,3,4,5,8,9,11,13,15,18,19,20,21,22,23"
134,"1,3,5,7,8,10,11,12,13,14,16,17,19,22,25"
135,"1,2,5,7,8,10,13,14,15,18,19,20,21,22,25"
136,"1,2,3,5,6,9,12,13,14,15,17,21,22,23,24"
137,"2,6,8,9,10,11,12,13,16,17,18,19,20,21,25"
138,"2,3,4,5,7,8,11,13,15,16,17,21,22,24,25"
139,"1,2,7,9,12,14,15,16,17,18,19,21,22,23,24"
140,"1,2,3,6,9,10,12,13,15,18,19,20,22,24,25"
141,"1,3,7,8,9,10,12,13,16,17,18,19,20,24,25"
142,"1,2,4,5,6,7,9,15,16,17,18,19,22,23,24"
143,"1,2,8,9,11,13,15,16,17,19,21,22,23,24,25"
144,"1,2,4,7,9,11,12,14,17,19,20,21,22,24,25"
145,"1,2,3,9,10,11,13,14,15,17,18,20,22,24,25"
146,"1,2,5,8,10,11,12,13,14,16,17,22,23,24,25"
147,"1,2,4,5,6,10,11,12,13,16,19,21,22,23,25"
148,"1,2,4,5,8,9,12,13,16,17,20,21,22,24,25"
149,"2,5,7,9,10,13,15,16,17,18,19,20,23,24,25"
150,"1,3,5,6,7,8,9,11,14,19,21,22,23,24,25"
151,"3,4,5,7,9,10,11,12,13,14,16,18,20,23,24"
152,"3,4,5,6,7,8,13,15,17,19,20,22,23,24,25"
153,"1,2,4,5,8,11,12,13,17,18,20,21,23,24,25"
154,"1,2,3,5,6,9,10,11,13,14,15,16,18,23,24"
155,"2,4,5,8,10,11,14,15,16,18,19,20,21,22,24"
156,"1,3,4,8,9,10,11,12,13,14,15,19,20,22,23"
157,"1,2,4,6,7,9,10,12,14,16,18,19,21,24,25"
158,"2,7,8,9,10,11,12,15,16,17,18,19,20,22,23"
159,"1,2,3,4,5,6,8,10,11,14,15,17,20,24,25"
160,"1,3,4,9,10,11,12,14,15,16,17,19,20,21,24"
161,"1,5,8,11,13,15,16,17,18,20,21,22,23,24,25"
162,"1,2,3,4,5,6,8,11,12,13,16,18,20,23,24"
163,"1,2,3,5,6,7,9,13,14,15,20,21,23,24,25"
164,"1,2,3,5,6,8,10,11,14,15,18,21,22,23,24"
165,"1,2,4,6,8,9,12,13,14,15,17,18,19,22,25"
166,"2,3,4,8,9,10,13,14,15,18,19,20,21,22,23"
167,"1,2,3,6,8,9,10,13,14,16,18,19,22,23,24"
168,"1,2,3,4,7,10,12,15,16,17,19,20,22,23,24"
169,"1,4,5,6,7,8,9,10,11,12,15,16,20,21,24"
170,"1,3,4,5,6,7,8,10,13,16,18,20,22,23,25"
171,"1,3,4,10,11,12,13,15,16,17,21,22,23,24,25"
172,"1,2,4,6,7,9,10,11,12,13,18,20,21,22,25"
173,"2,3,4,5,7,8,11,15,19,20,21,22,23,24,25"
174,"1,2,4,7,9,10,11,12,13,15,17,20,23,24,25"
175,"2,3,5,6,7,11,12,13,14,15,16,18,19,21,24"
176,"2,4,10,11,12,13,15,16,17,18,21,22,23,24,25"
177,"2,6,7,8,10,11,13,15,16,17,19,20,21,23,24"
178,"2,3,4,6,8,9,10,14,16,19,20,21,23,24,25"
179,"2,3,4,5,7,9,13,14,15,17,19,22,23,24,25"
180,"1,2,3,4,5,6,7,8,10,11,15,17,20,24,25"
181,"1,4,5,6,7,8,14,15,16,17,19,20,21,22,23"
182,"2,3,4,7,8,9,11,13,14,17,19,21,22,23,25"
183,"2,4,6,7,8,11,13,14,16,19,20,21,23,24,25"
184,"1,3,7,8,9,10,11,15,16,17,18,19,21,23,25"
185,"1,2,4,6,7,8,9,11,12,15,17,19,20,23,25"
186,"2,4,5,6,11,12,13,16,17,18,19,22,23,24,25"
187,"1,3,11,12,13,15,16,17,18,19,21,22,23,24,25"
188,"2,3,5,8,10,11,13,16,19,20,21,22,23,24,25"
189,"1,2,4,5,6,7,9,13,16,18,19,20,22,23,24"
190,"1,3,4,5,7,8,11,13,14,15,16,18,19,23,24"
191,"2,5,8,9,10,12,13,15,17,18,19,20,21,22,23"
192,"1,2,3,4,5,6,11,13,14,15,16,21,22,23,24"
193,"1,2,3,4,5,8,9,10,14,15,16,19,20,21,25"
194,"2,7,8,9,10,12,13,14,15,17,18,21,22,23,25"
195,"2,3,4,6,7,8,9,11,12,14,17,18,19,22,23"
196,"2,3,4,5,10,14,15,16,17,19,20,22,23,24,25"
197,"3,4,5,6,7,8,9,10,12,13,18,20,21,22,23"
198,"1,2,4,5,6,7,13,14,15,16,17,18,20,21,25"
199,"1,2,3,4,5,6,9,11,12,15,19,20,21,22,23"
200,"1,2,4,5,8,9,11,12,13,14,15,16,21,23,24"
201,"1,2,4,5,8,9,10,11,12,13,14,15,19,20,22"
202,"1,3,5,10,11,13,14,16,17,18,19,21,22,23,24"
203,"1,2,3,4,5,6,7,12,13,14,17,18,23,24,25"
204,"2,3,4,5,7,8,11,14,15,16,17,22,23,24,25"
205,"2,3,4,9,10,11,12,14,15,16,17,18,21,22,25"
206,"2,3,5,8,9,11,12,13,14,15,16,17,20,21,22"
207,"1,2,3,4,6,9,10,12,13,14,15,17,19,20,22"
208,"1,3,4,6,7,9,10,11,12,14,15,16,19,23,24"
209,"1,3,5,6,7,9,10,14,15,18,19,21,22,24,25"
210,"3,5,7,9,10,11,13,14,15,16,18,21,22,23,24"
211,"1,2,4,6,8,10,11,12,14,16,17,18,22,24,25"
212,"1,3,4,6,8,9,10,11,12,14,16,19,20,22,23"
213,"1,3,4,5,8,9,10,11,16,18,19,21,23,24,25"
214,"1,2,3,4,9,11,13,14,15,18,19,20,22,24,25"
215,"1,3,4,5,7,9,11,12,14,15,17,18,19,23,25"
216,"2,3,4,5,6,7,9,10,11,13,17,19,21,24,25"
217,"2,3,4,5,6,7,9,10,11,12,16,17,19,21,25"
218,"2,5,7,8,11,12,13,14,15,16,17,20,21,22,25"
219,"2,3,6,8,9,11,14,16,17,18,19,22,23,24,25"
220,"5,9,10,12,13,14,15,16,17,18,20,21,23,24,25"
221,"1,2,3,6,7,8,10,12,16,17,19,20,21,23,25"
222,"1,3,4,5,6,7,8,9,12,15,18,21,22,23,24"
223,"2,4,7,9,10,11,12,13,14,16,20,21,22,23,24"
224,"4,6,8,9,10,11,12,13,15,18,19,20,21,23,24"
225,"1,2,3,5,7,8,13,14,15,18,19,20,22,23,25"
226,"4,5,8,10,11,13,14,15,16,17,18,19,20,21,25"
227,"1,5,7,8,9,10,12,14,15,17,18,19,20,21,22"
228,"2,4,10,11,12,13,14,15,16,17,18,19,20,24,25"
229,"2,6,8,9,10,11,12,13,14,15,16,17,20,23,25"
230,"1,2,3,4,5,6,8,10,11,13,14,15,17,22,24"
231,"1,2,5,6,7,10,12,15,16,17,18,19,21,24,25"
232,"4,5,6,9,11,12,13,14,16,17,18,21,23,24,25"
233,"1,2,3,4,5,6,7,8,9,12,13,14,17,19,21"
234,"1,2,3,4,5,9,11,12,13,14,15,17,21,22,24"
235,"1,8,10,12,13,14,15,16,17,18,19,21,23,24,25"
236,"1,3,4,5,7,8,9,12,13,15,16,21,22,23,25"
237,"4,5,6,7,9,12,13,15,16,18,19,20,21,22,23"
238,"1,3,4,6,11,12,13,14,15,17,19,20,21,23,24"
239,"1,3,5,6,7,9,10,13,14,15,16,19,22,23,25"
240,"1,2,4,9,10,11,13,14,15,16,18,19,21,22,23"
241,"3,4,5,8,9,12,13,14,15,17,20,21,23,24,25"
242,"2,5,6,8,9,13,14,15,16,17,18,19,21,22,23"
243,"1,2,3,4,5,7,12,13,16,17,18,20,21,23,25"
244,"3,5,6,7,9,10,11,12,14,15,18,20,21,22,24"
245,"1,2,6,7,9,10,11,12,14,15,16,18,19,24,25"
246,"1,4,5,7,8,9,10,12,13,15,17,18,21,24,25"
247,"1,2,3,4,7,8,9,14,15,16,17,19,22,23,25"
248,"1,2,5,8,9,10,11,12,13,15,16,19,20,21,25"
249,"4,5,7,8,9,10,12,14,15,17,18,21,22,23,25"
250,"1,2,3,5,9,10,12,13,15,16,17,18,19,21,23"
251,"3,4,5,6,9,10,13,15,16,18,19,21,22,23,25"
252,"2,3,4,6,8,11,14,15,17,18,19,22,23,24,25"
253,"1,4,5,6,7,8,11,12,13,15,18,19,21,22,23"
254,"2,3,4,5,6,7,8,9,11,13,14,15,16,20,23"
255,"1,2,3,4,6,9,10,14,15,16,17,21,22,23,24"
256,"1,2,6,7,8,9,10,12,13,15,16,18,20,22,24"
257,"1,3,6,7,9,10,12,13,14,16,17,18,19,22,24"
258,"2,4,5,6,9,12,13,14,17,19,20,21,22,24,25"
259,"3,5,6,7,8,9,10,15,18,19,20,21,22,24,25"
260,"1,3,4,5,6,7,8,9,11,13,14,18,19,20,24"
261,"1,2,4,5,6,7,11,13,15,16,17,19,20,21,25"
262,"3,4,6,7,8,9,12,13,14,15,17,20,21,23,24"
263,"1,4,7,8,9,10,11,14,15,16,18,19,21,23,24"
264,"1,3,4,6,8,9,12,13,16,19,20,21,22,23,25"
265,"1,5,7,8,11,12,13,15,16,17,18,19,20,22,24"
266,"1,3,4,5,6,7,9,11,14,15,18,19,21,22,24"
267,"2,3,4,5,6,9,11,12,13,14,15,17,21,23,24"
268,"5,6,7,8,9,10,12,14,15,16,18,19,20,23,25"
269,"1,2,4,6,10,13,14,15,16,17,18,19,22,23,24"
270,"1,3,4,5,6,7,8,9,14,16,18,19,23,24,25"
271,"1,2,4,5,6,8,11,12,16,18,19,20,21,24,25"
272,"1,2,4,5,8,9,11,12,13,15,17,20,23,24,25"
273,"1,5,6,7,10,12,15,16,17,18,19,20,21,24,25"
274,"2,4,5,6,7,10,11,12,14,15,17,20,21,23,25"
275,"1,3,5,6,8,9,10,11,12,14,15,17,18,20,22"
276,"2,3,4,5,7,10,11,12,13,17,18,19,20,22,25"
277,"2,4,9,10,11,12,13,14,16,17,21,22,23,24,25"
278,"1,2,3,5,6,9,11,12,13,15,17,19,21,23,25"
279,"1,2,3,5,6,9,10,11,12,13,17,18,19,22,23"
280,"3,4,5,6,9,10,11,13,15,16,17,19,20,24,25"
281,"1,2,3,4,8,9,10,11,12,14,15,17,19,23,25"
282,"2,3,4,7,8,11,12,13,15,16,19,20,21,22,25"
283,"1,2,4,6,8,9,10,11,12,13,19,20,22,23,24"
284,"1,3,5,6,7,11,12,13,15,17,19,21,22,23,25"
285,"1,4,5,8,9,10,11,12,13,14,15,16,19,22,23"
286,"1,2,3,4,7,9,10,11,12,13,19,21,23,24,25"
287,"2,5,6,7,10,12,13,15,16,17,18,21,22,23,25"
288,"1,2,3,4,6,9,10,12,13,14,15,18,19,24,25"
289,"1,2,3,4,6,8,9,10,12,14,15,17,19,22,24"
290,"1,2,5,6,7,9,11,12,13,14,17,20,21,22,23"
291,"1,2,5,7,8,10,11,12,13,14,15,17,20,23,24"
292,"2,3,5,7,8,9,11,12,13,16,17,21,22,24,25"
293,"1,2,3,6,9,12,13,14,15,18,19,22,23,24,25"
294,"1,2,3,4,5,7,8,11,12,15,16,20,23,24,25"
295,"2,3,4,6,10,13,15,16,17,18,19,21,23,24,25"
296,"2,3,6,7,8,11,12,14,15,16,17,18,19,22,25"
297,"1,4,7,8,9,10,12,14,15,16,21,22,23,24,25"
298,"1,3,4,6,7,8,11,12,13,14,15,16,21,22,24"
299,"3,5,6,7,8,10,13,17,18,19,20,21,22,23,24"
300,"3,4,7,8,9,11,12,15,17,19,20,21,22,23,25"
301,"2,3,8,9,11,12,13,14,15,17,18,19,20,22,23"
302,"2,4,5,6,9,10,11,12,14,15,16,18,20,22,25"
303,"2,3,4,6,8,12,15,16,17,18,20,21,22,23,24"
304,"1,3,4,5,12,14,15,16,17,18,19,20,21,22,25"
305,"2,3,4,5,8,10,11,12,13,18,20,21,22,24,25"
306,"1,2,4,5,8,11,12,13,14,15,16,18,19,20,25"
307,"1,3,4,6,9,10,12,14,15,17,19,20,21,23,24"
308,"1,2,4,5,12,13,15,16,18,19,21,22,23,24,25"
309,"1,2,3,4,8,9,10,13,14,16,17,20,21,22,24"
310,"2,3,5,9,10,11,14,15,16,17,18,19,21,23,24"
311,"2,4,5,7,10,12,14,15,16,17,19,20,23,24,25"
312,"1,2,6,8,9,10,11,12,13,16,17,18,19,22,25"
313,"2,3,6,7,9,10,12,14,15,16,17,18,19,23,25"
314,"1,2,5,6,8,9,11,12,13,14,15,19,20,21,22"
315,"2,3,5,6,8,11,13,14,16,17,19,20,21,23,24"
316,"1,3,4,6,7,8,10,12,13,14,15,18,19,23,24"
317,"1,2,4,5,8,9,11,14,16,18,19,21,22,24,25"
318,"3,4,5,6,9,11,12,13,14,15,16,18,21,23,25"
319,"1,3,4,6,8,9,10,12,14,16,17,19,20,23,24"
320,"1,3,6,9,11,12,14,15,17,18,19,21,22,23,25"
321,"2,3,4,9,10,11,12,13,14,16,17,18,20,24,25"
322,"1,2,3,5,7,12,13,15,16,17,18,20,21,23,24"
323,"1,2,3,4,6,7,9,10,14,17,19,20,21,23,25"
324,"1,2,3,4,6,7,8,9,10,12,16,20,21,23,24"
325,"1,2,4,5,6,7,10,14,15,19,20,22,23,24,25"
326,"1,2,4,6,7,8,10,11,12,13,15,17,18,24,25"
327,"1,2,3,4,8,12,13,14,15,16,17,18,19,21,23"
328,"2,3,4,5,11,12,13,15,18,19,21,22,23,24,25"
329,"1,2,3,4,8,9,13,14,17,18,20,21,23,24,25"
330,"1,2,5,6,9,12,14,15,17,18,19,22,23,24,25"
331,"1,3,5,6,7,12,13,15,16,18,19,21,22,23,25"
332,"2,3,5,6,7,10,11,12,14,19,20,21,23,24,25"
333,"1,2,5,6,9,11,12,13,14,15,16,18,21,23,25"
334,"1,2,6,7,8,11,13,15,16,17,18,21,22,23,25"
335,"1,3,4,6,7,8,9,11,12,14,16,17,19,20,21"
336,"1,2,3,5,6,8,10,11,14,15,16,17,19,22,25"
337,"1,3,4,5,7,8,9,10,11,12,16,18,19,22,23"
338,"3,4,5,6,7,9,12,14,15,16,17,19,20,21,25"
339,"1,2,5,8,10,13,15,16,18,19,20,21,22,23,24"
340,"2,3,4,5,6,8,9,10,11,14,19,20,21,22,25"
341,"1,5,7,9,11,12,13,16,18,19,20,21,22,24,25"
342,"1,3,4,8,11,12,13,15,16,19,20,21,22,23,25"
343,"3,5,6,8,11,12,13,14,15,16,18,19,20,22,25"
344,"3,4,5,6,9,10,11,12,13,15,16,20,21,24,25"
345,"2,7,9,11,12,14,15,16,18,19,20,21,23,24,25"
346,"1,2,3,5,6,8,10,12,14,15,17,18,21,23,24"
347,"3,5,7,8,9,10,11,12,14,15,18,19,20,24,25"
348,"1,2,5,7,8,12,14,17,18,19,20,21,22,24,25"
349,"1,2,5,7,8,12,14,16,17,18,19,20,22,24,25"
350,"1,2,3,4,6,7,8,9,12,13,14,15,22,23,25"
351,"1,2,3,5,7,10,11,12,14,16,17,18,19,23,24"
352,"1,2,3,4,6,9,12,13,15,17,18,19,20,22,24"
353,"2,3,7,8,9,11,12,13,17,18,19,20,21,22,23"
354,"1,2,4,7,8,9,10,12,16,17,18,19,21,22,23"
355,"2,4,6,7,8,9,10,11,12,13,15,18,19,23,25"
356,"2,4,5,9,10,11,13,14,15,16,19,20,22,24,25"
357,"1,2,5,6,8,9,10,11,13,14,17,19,21,23,25"
358,"2,4,6,9,10,11,12,14,15,16,17,18,23,24,25"
359,"4,7,8,10,11,12,13,16,17,18,19,21,22,24,25"
360,"1,2,3,4,5,7,8,9,11,17,18,19,20,23,24"
361,"1,4,7,9,10,12,13,14,15,16,17,19,20,23,24"
362,"1,2,3,4,5,6,7,10,12,13,17,18,22,23,24"
363,"2,3,4,6,8,9,11,13,15,16,17,20,21,22,23"
364,"2,3,4,6,7,9,11,12,13,15,19,20,21,22,24"
365,"3,4,5,8,10,11,12,15,16,18,19,20,23,24,25"
366,"3,5,6,8,9,11,13,15,17,18,20,21,22,23,25"
367,"1,2,4,7,8,9,12,13,15,17,18,20,21,22,24"
368,"2,3,4,5,6,11,13,14,15,17,19,20,21,22,24"
369,"1,3,5,6,7,9,11,12,14,15,20,21,22,23,24"
370,"3,4,6,7,8,9,10,11,12,14,16,17,19,23,25"
371,"1,2,3,5,6,7,8,9,10,13,14,15,16,22,25"
372,"3,4,5,6,10,12,13,14,16,17,19,22,23,24,25"
373,"2,4,6,9,11,12,13,14,15,17,19,20,21,22,23"
374,"1,2,3,6,9,12,13,16,18,20,21,22,23,24,25"
375,"1,2,5,7,10,11,12,13,14,16,17,18,19,20,25"
376,"2,3,8,10,12,13,14,15,16,18,20,21,22,24,25"
377,"1,2,3,4,7,8,9,11,12,13,15,17,19,20,22"
378,"2,3,4,6,12,13,14,15,16,19,21,22,23,24,25"
379,"3,4,5,7,10,11,12,13,14,16,17,18,21,22,25"
380,"2,3,4,6,7,8,9,10,11,14,17,18,22,23,25"
381,"1,3,4,6,7,9,10,12,13,15,17,19,21,22,25"
382,"2,3,4,7,8,9,10,11,12,14,15,16,21,22,24"
383,"3,5,6,7,9,11,12,14,15,16,18,22,23,24,25"
384,"1,3,4,7,10,11,13,15,17,18,19,20,21,22,25"
385,"1,2,4,5,6,8,12,13,15,18,20,22,23,24,25"
386,"1,2,3,4,6,7,9,11,15,18,19,20,21,23,25"
387,"2,3,4,8,9,10,11,12,14,15,19,20,21,22,23"
388,"1,2,3,5,6,7,9,10,11,15,16,17,18,20,21"
389,"2,3,4,5,6,9,10,12,13,17,18,19,23,24,25"
390,"2,5,7,10,11,12,13,14,15,19,20,21,22,24,25"
391,"1,3,4,6,8,9,12,13,15,16,18,21,22,23,25"
392,"1,2,3,4,10,11,12,14,15,17,18,20,21,23,25"
393,"1,3,4,6,7,8,10,11,17,18,20,21,22,23,25"
394,"2,5,6,7,8,12,13,14,16,18,20,21,22,23,24"
395,"1,2,4,6,8,9,11,13,14,15,17,21,22,23,25"
396,"1,2,3,5,6,7,9,10,11,13,15,18,20,22,24"
397,"1,2,3,4,5,6,8,9,10,13,14,15,20,22,25"
398,"2,3,4,5,7,8,9,10,12,13,16,18,20,21,22"
399,"1,4,7,9,10,11,12,14,16,17,19,21,22,23,24"
400,"1,5,9,10,12,14,15,16,17,19,20,21,22,23,24"
401,"1,2,3,5,6,7,8,10,14,16,17,21,23,24,25"
402,"1,2,4,6,7,8,9,11,16,20,21,22,23,24,25"
403,"2,4,6,7,8,9,11,12,13,14,15,19,21,24,25"
404,"1,5,6,8,10,11,13,14,16,18,20,21,22,24,25"
405,"4,5,6,7,8,11,12,13,14,16,18,19,22,24,25"
406,"1,2,4,5,7,8,9,10,11,16,17,21,22,23,24"
407,"2,4,6,7,8,9,11,12,14,15,16,17,20,22,25"
408,"1,2,3,4,10,11,12,14,15,18,19,20,21,22,23"
409,"1,2,4,6,7,8,10,14,16,17,20,21,23,24,25"
410,"1,4,5,7,8,9,10,11,13,14,15,17,18,19,25"
411,"1,5,7,9,11,12,14,16,17,18,20,21,22,24,25"
